Time,Latitude,Longitude,Depth,Altitude,Chlorophyll,cDOM,DissolvedOxygen
1569492164.84,63.58017262,10.50312925,0.083665,-1,0.8759999871,5.5552000999,239.443
1569492165.99,63.58017351,10.50313457,0.163425,-1,0.8321999907,6.0032000542,247.9955
1569492167.14,63.58018008,10.50315698,0.075288,-1,0.8321999907,5.3759999275,239.479
1569492168.241,63.58018669,10.50318069,0.128842,-1,0.8614000082,5.6448001862,258.827
1569492169.39,63.58019378,10.50320671,0.072623,-1,0.8540999889,5.5552000999,239.483
1569492170.49,63.58019959,10.50323656,0.135627,-1,0.8906000257,5.6448001862,239.479
1569492171.64,63.58020566,10.50326609,0.065118,-1,0.8248999715,5.8239998817,251.333
1569492172.741,63.58021404,10.50329363,0.138314,-1,0.8540999889,5.8239998817,239.354
1569492173.89,63.58022384,10.50332842,0.244069,-1,0.8540999889,6.1824002266,251.266
1569492174.99,63.58023021,10.50335603,0.253647,-1,0.8833000064,5.8239998817,242.4535
1569492176.14,63.58023397,10.50336462,0.251662,-1,0.9052000046,5.913599968,239.087
1569492177.24,63.58023646,10.50337321,0.233022,-1,0.8321999907,5.5552000999,239.252
1569492178.39,63.58023808,10.50337962,0.24459,-1,0.8540999889,5.5552000999,239.196
1569492179.49,63.58023917,10.50338092,0.253577,-1,0.8468000293,6.0032000542,239.296
1569492180.64,63.58023877,10.50337886,0.219313,-1,0.8614000082,5.6448001862,239.256
1569492181.74,63.58024204,10.50339183,0.147338,-1,0.8540999889,6.0032000542,239.245
1569492182.89,63.58023951,10.50338471,0.053489,-1,0.9125000238,5.6448001862,239.214
1569492183.99,63.58023583,10.5033859,0.090888,-1,0.8906000257,5.6448001862,246.4925
1569492185.14,63.5802306,10.50337582,0.156915,-1,0.8614000082,6.4512000084,259.883
1569492186.24,63.5802287,10.50337195,0.09203,-1,0.8833000064,5.5552000999,239.265
1569492187.39,63.58022664,10.50336742,0.019823,-1,0.8833000064,5.3759999275,239.468
